Rank,Team,Net Portfolio P&L (%),Ann. Volatility (%),Max Drawdown (%),Sharpe Ratio,Info Ratio,Win Rate (%)
1,MBA Kilo,52.22,25.15,-4.57,1.77,1.49,100.0
2,MBA Papa,42.89,20.43,-15.01,1.84,1.91,100.0
3,MBA-Gamma,23.12,39.51,-23.29,0.72,0.49,67.0
4,MBA Uniform,16.4,10.31,-6.54,1.51,1.27,75.0
5,MBA Foxtrot,14.7,8.21,-6.64,1.7,0.85,67.0
6,MBA-Kappa,14.0,8.19,-5.53,1.63,0.97,67.0
7,MBA Bravo,13.98,7.71,-5.36,1.72,0.74,50.0
8,MBA-Epsilon,12.53,9.9,-7.02,1.23,1.0,100.0
9,MBA-Beta,12.2,10.45,-9.13,1.15,0.99,100.0
10,MBA Juliett,6.69,3.63,-2.59,1.79,0.02,50.0
11,MBA Charlie,6.41,4.88,-4.31,1.29,-0.01,67.0
12,MBA Tango,5.11,5.68,-5.6,0.9,-0.14,33.0
13,MBA Whiskey,4.24,3.47,-2.15,1.2,-0.26,67.0
14,MBA Delta,3.47,9.58,-4.72,0.4,-0.21,50.0
15,MBA Echo,3.3,4.23,-2.2,0.78,-0.41,50.0
16,MBA Alfa,2.68,9.32,-6.76,0.33,-0.34,67.0
17,MBA Romeo,2.56,3.54,-1.47,0.72,-0.45,33.0
18,MBA Sierra,2.03,0.88,-0.44,2.28,-0.61,67.0
19,MBA November,1.83,2.29,-1.06,0.8,-0.62,67.0
20,MBA Zulu,1.35,1.44,-1.37,0.93,-0.68,67.0
21,MBA Oscar,0.45,0.78,-0.63,0.58,-0.82,60.0
22,MBA-Theta,0.1,1.23,-0.65,0.09,-0.9,33.0
23,MBA Golf,-0.09,1.32,-1.17,-0.06,-0.94,0.0
24,MBA Mike,-0.31,2.07,-1.59,-0.14,-0.92,50.0
25,MBA Quebec,-0.64,1.23,-1.82,-0.51,-1.0,33.0
26,MBA Yankee,-0.88,3.2,-3.27,-0.26,-1.03,50.0
27,MBA Xray,-1.03,7.31,-5.85,-0.1,-0.72,50.0
28,MBA India,-2.29,3.4,-3.61,-0.66,-0.98,0.0
29,MBA Hotel,-3.02,1.38,-3.45,-2.19,-1.31,0.0
30,MBA Lima,-3.57,4.82,-6.23,-0.73,-1.25,33.0
